Model Training in progress..................

Train SVM model and below are results..
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 0.2, 'gamma': 0.001}, Train Accuracy: 0.99, Test Accuracy: 0.98
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 0.2, 'gamma': 0.005}, Train Accuracy: 0.92, Test Accuracy: 0.75
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 0.2, 'gamma': 0.001}, Train Accuracy: 0.99, Test Accuracy: 0.98
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 0.2, 'gamma': 0.0005}, Train Accuracy: 0.98, Test Accuracy: 0.97
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 0.2, 'gamma': 0.0001}, Train Accuracy: 0.94, Test Accuracy: 0.91
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 0.3, 'gamma': 0.001}, Train Accuracy: 0.99, Test Accuracy: 0.99
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 0.3, 'gamma': 0.005}, Train Accuracy: 0.99, Test Accuracy: 0.89
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 0.3, 'gamma': 0.001}, Train Accuracy: 0.99, Test Accuracy: 0.99
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 0.3, 'gamma': 0.0005}, Train Accuracy: 0.98, Test Accuracy: 0.98
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 0.3, 'gamma': 0.0001}, Train Accuracy: 0.95, Test Accuracy: 0.92
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 0.7, 'gamma': 0.001}, Train Accuracy: 1.0, Test Accuracy: 0.99
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 0.7, 'gamma': 0.005}, Train Accuracy: 1.0, Test Accuracy: 0.97
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 0.7, 'gamma': 0.001}, Train Accuracy: 1.0, Test Accuracy: 0.99
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 0.7, 'gamma': 0.0005}, Train Accuracy: 0.99, Test Accuracy: 0.99
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 0.7, 'gamma': 0.0001}, Train Accuracy: 0.97, Test Accuracy: 0.96
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 1, 'gamma': 0.001}, Train Accuracy: 1.0, Test Accuracy: 0.99
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 1, 'gamma': 0.005}, Train Accuracy: 1.0, Test Accuracy: 0.98
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 1, 'gamma': 0.001}, Train Accuracy: 1.0, Test Accuracy: 0.99
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 1, 'gamma': 0.0005}, Train Accuracy: 1.0, Test Accuracy: 0.99
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 1, 'gamma': 0.0001}, Train Accuracy: 0.98, Test Accuracy: 0.97
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 3, 'gamma': 0.001}, Train Accuracy: 1.0, Test Accuracy: 0.99
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 3, 'gamma': 0.005}, Train Accuracy: 1.0, Test Accuracy: 0.98
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 3, 'gamma': 0.001}, Train Accuracy: 1.0, Test Accuracy: 0.99
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 3, 'gamma': 0.0005}, Train Accuracy: 1.0, Test Accuracy: 0.99
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 3, 'gamma': 0.0001}, Train Accuracy: 0.99, Test Accuracy: 0.99
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 5, 'gamma': 0.001}, Train Accuracy: 1.0, Test Accuracy: 0.99
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 5, 'gamma': 0.005}, Train Accuracy: 1.0, Test Accuracy: 0.98
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 5, 'gamma': 0.001}, Train Accuracy: 1.0, Test Accuracy: 0.99
Run: 1, Split Ratio: (0.8,0.1), Hyper parameter: {'C': 5, 'gamma': 0.0005}, Train Accuracy: 1.0, Test Accuracy: 0.99
